1:13:30 21/03/2020:Bern:37
238:23:10 21/03/2020:Copenhagen:25
239:00:30 22/03/2020:London:27
240:10:10 21/03/2020:Vienna:37
241:20:30 21/03/2020:Athens:28
242:10:10 21/03/2020:Rome:25
243:07:20 21/03/2020:Moscow:27
244:14:40 21/03/2020:Brussels:35
245:06:20 21/03/2020:Madrid:33
246:07:10 21/03/2020:Helsinki:24
247:00:10 22/03/2020:Budapest:34
248:09:20 21/03/2020:Zagreb:22
249:13:40 21/03/2020:Budapest:28
250:15:20 21/03/2020:Vienna:37
251:03:10 21/03/2020:Paris:28
252:12:20 21/03/2020:Helsinki:32
253:10:30 21/03/2020:Berlin:21
254:21:40 21/03/2020:Podgorica:35
255:16:20 21/03/2020:Paris:36
256:22:40 21/03/2020:Berlin:24
257:19:20 21/03/2020:Amsterdam:31
258:02:30 21/03/2020:Rome:21
259:23:20 21/03/2020:Athens:22
260:23:30 21/03/2020:London:24
261:18:20 21/03/2020:Riga:35
262:23:20 21/03/2020:Podgorica:36
263:16:30 21/03/2020:Brussels:23
264:18:30 21/03/2020:Helsinki:21
265:23:30 21/03/2020:Warsaw:33
266:21:10 21/03/2020:Lisbon:30
267:05:40 21/03/2020:Brussels:23
268:04:20 21/03/2020:Baku:30
269:16:30 21/03/2020:London:34
270:17:30 21/03/2020:Bucharest:36
271:03:20 21/03/2020:Bern:28
272:08:40 21/03/2020:Zagreb:24
273:04:40 21/03/2020:Skopje:22
274:14:20 21/03/2020:Moscow:34
275:02:20 21/03/2020:Brussels:30
276:13:20 21/03/2020:Minsk:33
277:09:20 21/03/2020:Amsterdam:30
278:06:20 21/03/2020:Madrid:36
279:17:20 21/03/2020:Minsk:22
